,code,country,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
1,BRN,Brunei,2020-03-10,1.0,,19.44,437483,71809.251,0.853
2,BRN,Brunei,2020-03-12,11.0,,30.56,437483,71809.251,0.853
3,BRN,Brunei,2020-03-13,25.0,,50.0,437483,71809.251,0.853
4,BRN,Brunei,2020-03-14,37.0,,50.0,437483,71809.251,0.853
5,BRN,Brunei,2020-03-15,40.0,,50.0,437483,71809.251,0.853
6,BRN,Brunei,2020-03-16,50.0,,50.0,437483,71809.251,0.853
7,BRN,Brunei,2020-03-17,54.0,,50.0,437483,71809.251,0.853
8,BRN,Brunei,2020-03-18,56.0,,50.0,437483,71809.251,0.853
9,BRN,Brunei,2020-03-19,68.0,,50.0,437483,71809.251,0.853
10,BRN,Brunei,2020-03-20,73.0,,50.0,437483,71809.251,0.853
11,BRN,Brunei,2020-03-21,78.0,,50.0,437483,71809.251,0.853
12,BRN,Brunei,2020-03-22,83.0,,50.0,437483,71809.251,0.853
13,BRN,Brunei,2020-03-23,88.0,,50.0,437483,71809.251,0.853
14,BRN,Brunei,2020-03-24,91.0,,52.78,437483,71809.251,0.853
15,BRN,Brunei,2020-03-25,104.0,,52.78,437483,71809.251,0.853
16,BRN,Brunei,2020-03-26,107.0,,52.78,437483,71809.251,0.853
17,BRN,Brunei,2020-03-27,114.0,,52.78,437483,71809.251,0.853
18,BRN,Brunei,2020-03-28,115.0,,52.78,437483,71809.251,0.853
19,BRN,Brunei,2020-03-29,120.0,1.0,52.78,437483,71809.251,0.853
20,BRN,Brunei,2020-03-30,126.0,1.0,52.78,437483,71809.251,0.853
21,BRN,Brunei,2020-03-31,127.0,1.0,52.78,437483,71809.251,0.853
22,BRN,Brunei,2020-04-01,129.0,1.0,52.78,437483,71809.251,0.853
23,BRN,Brunei,2020-04-02,131.0,1.0,52.78,437483,71809.251,0.853
24,BRN,Brunei,2020-04-03,133.0,1.0,52.78,437483,71809.251,0.853
25,BRN,Brunei,2020-04-04,133.0,1.0,52.78,437483,71809.251,0.853
26,BRN,Brunei,2020-04-05,135.0,1.0,52.78,437483,71809.251,0.853
27,BRN,Brunei,2020-04-06,135.0,1.0,52.78,437483,71809.251,0.853
28,BRN,Brunei,2020-04-07,135.0,1.0,52.78,437483,71809.251,0.853
29,BRN,Brunei,2020-04-08,135.0,1.0,52.78,437483,71809.251,0.853
30,BRN,Brunei,2020-04-09,135.0,1.0,52.78,437483,71809.251,0.853
31,BRN,Brunei,2020-04-10,135.0,1.0,52.78,437483,71809.251,0.853
32,BRN,Brunei,2020-04-11,136.0,1.0,58.33,437483,71809.251,0.853
33,BRN,Brunei,2020-04-12,136.0,1.0,58.33,437483,71809.251,0.853
34,BRN,Brunei,2020-04-13,136.0,1.0,58.33,437483,71809.251,0.853
35,BRN,Brunei,2020-04-14,136.0,1.0,58.33,437483,71809.251,0.853
36,BRN,Brunei,2020-04-15,136.0,1.0,58.33,437483,71809.251,0.853
37,BRN,Brunei,2020-04-16,136.0,1.0,58.33,437483,71809.251,0.853
38,BRN,Brunei,2020-04-17,136.0,1.0,58.33,437483,71809.251,0.853
39,BRN,Brunei,2020-04-18,136.0,1.0,58.33,437483,71809.251,0.853
40,BRN,Brunei,2020-04-19,137.0,1.0,58.33,437483,71809.251,0.853
41,BRN,Brunei,2020-04-20,138.0,1.0,58.33,437483,71809.251,0.853
42,BRN,Brunei,2020-04-21,138.0,1.0,58.33,437483,71809.251,0.853
43,BRN,Brunei,2020-04-22,138.0,1.0,58.33,437483,71809.251,0.853
44,BRN,Brunei,2020-04-23,138.0,1.0,58.33,437483,71809.251,0.853
45,BRN,Brunei,2020-04-24,138.0,1.0,58.33,437483,71809.251,0.853
46,BRN,Brunei,2020-04-25,138.0,1.0,58.33,437483,71809.251,0.853
47,BRN,Brunei,2020-04-26,138.0,1.0,58.33,437483,71809.251,0.853
48,BRN,Brunei,2020-04-27,138.0,1.0,58.33,437483,71809.251,0.853
49,BRN,Brunei,2020-04-28,138.0,1.0,58.33,437483,71809.251,0.853
50,BRN,Brunei,2020-04-29,138.0,1.0,58.33,437483,71809.251,0.853
51,BRN,Brunei,2020-04-30,138.0,1.0,58.33,437483,71809.251,0.853
52,BRN,Brunei,2020-05-01,138.0,1.0,58.33,437483,71809.251,0.853
53,BRN,Brunei,2020-05-02,138.0,1.0,58.33,437483,71809.251,0.853
54,BRN,Brunei,2020-05-03,138.0,1.0,58.33,437483,71809.251,0.853
55,BRN,Brunei,2020-05-04,138.0,1.0,58.33,437483,71809.251,0.853
56,BRN,Brunei,2020-05-05,138.0,1.0,58.33,437483,71809.251,0.853
57,BRN,Brunei,2020-05-06,138.0,1.0,58.33,437483,71809.251,0.853
58,BRN,Brunei,2020-05-07,139.0,1.0,58.33,437483,71809.251,0.853
59,BRN,Brunei,2020-05-08,141.0,1.0,58.33,437483,71809.251,0.853
60,BRN,Brunei,2020-05-09,141.0,1.0,58.33,437483,71809.251,0.853
61,BRN,Brunei,2020-05-10,141.0,1.0,58.33,437483,71809.251,0.853
62,BRN,Brunei,2020-05-11,141.0,1.0,58.33,437483,71809.251,0.853
63,BRN,Brunei,2020-05-12,141.0,1.0,58.33,437483,71809.251,0.853
64,BRN,Brunei,2020-05-13,141.0,1.0,58.33,437483,71809.251,0.853
65,BRN,Brunei,2020-05-14,141.0,1.0,58.33,437483,71809.251,0.853
66,BRN,Brunei,2020-05-15,141.0,1.0,52.78,437483,71809.251,0.853
67,BRN,Brunei,2020-05-16,141.0,1.0,52.78,437483,71809.251,0.853
68,BRN,Brunei,2020-05-17,141.0,1.0,52.78,437483,71809.251,0.853
69,BRN,Brunei,2020-05-18,141.0,1.0,52.78,437483,71809.251,0.853
70,BRN,Brunei,2020-05-19,141.0,1.0,52.78,437483,71809.251,0.853
71,BRN,Brunei,2020-05-20,141.0,1.0,52.78,437483,71809.251,0.853
72,BRN,Brunei,2020-05-21,141.0,1.0,52.78,437483,71809.251,0.853
73,BRN,Brunei,2020-05-22,141.0,1.0,52.78,437483,71809.251,0.853
74,BRN,Brunei,2020-05-23,141.0,1.0,52.78,437483,71809.251,0.853
75,BRN,Brunei,2020-05-24,141.0,1.0,52.78,437483,71809.251,0.853
76,BRN,Brunei,2020-05-25,141.0,1.0,52.78,437483,71809.251,0.853
77,BRN,Brunei,2020-05-26,141.0,1.0,52.78,437483,71809.251,0.853
78,BRN,Brunei,2020-05-27,141.0,1.0,52.78,437483,71809.251,0.853
79,BRN,Brunei,2020-05-28,141.0,2.0,52.78,437483,71809.251,0.853
80,BRN,Brunei,2020-05-29,141.0,2.0,52.78,437483,71809.251,0.853
81,BRN,Brunei,2020-05-30,141.0,2.0,52.78,437483,71809.251,0.853
82,BRN,Brunei,2020-05-31,141.0,2.0,52.78,437483,71809.251,0.853
83,BRN,Brunei,2020-06-01,141.0,2.0,52.78,437483,71809.251,0.853
84,BRN,Brunei,2020-06-02,141.0,2.0,49.07,437483,71809.251,0.853
85,BRN,Brunei,2020-06-03,141.0,2.0,49.07,437483,71809.251,0.853
86,BRN,Brunei,2020-06-04,141.0,2.0,49.07,437483,71809.251,0.853
87,BRN,Brunei,2020-06-05,141.0,2.0,49.07,437483,71809.251,0.853
88,BRN,Brunei,2020-06-06,141.0,2.0,49.07,437483,71809.251,0.853
89,BRN,Brunei,2020-06-07,141.0,2.0,49.07,437483,71809.251,0.853
90,BRN,Brunei,2020-06-08,141.0,2.0,49.07,437483,71809.251,0.853
91,BRN,Brunei,2020-06-09,141.0,2.0,49.07,437483,71809.251,0.853
92,BRN,Brunei,2020-06-10,141.0,2.0,49.07,437483,71809.251,0.853
93,BRN,Brunei,2020-06-11,141.0,2.0,49.07,437483,71809.251,0.853
94,BRN,Brunei,2020-06-12,141.0,2.0,49.07,437483,71809.251,0.853
95,BRN,Brunei,2020-06-13,141.0,2.0,49.07,437483,71809.251,0.853
96,BRN,Brunei,2020-06-14,141.0,2.0,49.07,437483,71809.251,0.853
97,BRN,Brunei,2020-06-15,141.0,2.0,49.07,437483,71809.251,0.853
98,BRN,Brunei,2020-06-16,141.0,2.0,49.07,437483,71809.251,0.853
99,BRN,Brunei,2020-06-17,141.0,3.0,49.07,437483,71809.251,0.853
100,BRN,Brunei,2020-06-18,141.0,3.0,49.07,437483,71809.251,0.853
101,BRN,Brunei,2020-06-19,141.0,3.0,49.07,437483,71809.251,0.853
102,BRN,Brunei,2020-06-20,141.0,3.0,49.07,437483,71809.251,0.853
103,BRN,Brunei,2020-06-21,141.0,3.0,49.07,437483,71809.251,0.853
104,BRN,Brunei,2020-06-22,141.0,3.0,49.07,437483,71809.251,0.853
105,BRN,Brunei,2020-06-23,141.0,3.0,49.07,437483,71809.251,0.853
106,BRN,Brunei,2020-06-24,141.0,3.0,49.07,437483,71809.251,0.853
107,BRN,Brunei,2020-06-25,141.0,3.0,49.07,437483,71809.251,0.853
108,BRN,Brunei,2020-06-26,141.0,3.0,49.07,437483,71809.251,0.853
109,BRN,Brunei,2020-06-27,141.0,3.0,49.07,437483,71809.251,0.853
110,BRN,Brunei,2020-06-28,141.0,3.0,49.07,437483,71809.251,0.853
111,BRN,Brunei,2020-06-29,141.0,3.0,49.07,437483,71809.251,0.853
112,BRN,Brunei,2020-06-30,141.0,3.0,49.07,437483,71809.251,0.853
113,BRN,Brunei,2020-07-01,141.0,3.0,49.07,437483,71809.251,0.853
114,BRN,Brunei,2020-07-02,141.0,3.0,49.07,437483,71809.251,0.853
115,BRN,Brunei,2020-07-03,141.0,3.0,49.07,437483,71809.251,0.853
116,BRN,Brunei,2020-07-04,141.0,3.0,49.07,437483,71809.251,0.853
117,BRN,Brunei,2020-07-05,141.0,3.0,49.07,437483,71809.251,0.853
118,BRN,Brunei,2020-07-06,141.0,3.0,49.07,437483,71809.251,0.853
119,BRN,Brunei,2020-07-07,141.0,3.0,49.07,437483,71809.251,0.853
120,BRN,Brunei,2020-07-08,141.0,3.0,49.07,437483,71809.251,0.853
121,BRN,Brunei,2020-07-09,141.0,3.0,49.07,437483,71809.251,0.853
122,BRN,Brunei,2020-07-10,141.0,3.0,49.07,437483,71809.251,0.853
123,BRN,Brunei,2020-07-11,141.0,3.0,49.07,437483,71809.251,0.853
124,BRN,Brunei,2020-07-12,141.0,3.0,49.07,437483,71809.251,0.853
125,BRN,Brunei,2020-07-13,141.0,3.0,49.07,437483,71809.251,0.853
126,BRN,Brunei,2020-07-14,141.0,3.0,49.07,437483,71809.251,0.853
127,BRN,Brunei,2020-07-15,141.0,3.0,49.07,437483,71809.251,0.853
128,BRN,Brunei,2020-07-16,141.0,3.0,49.07,437483,71809.251,0.853
129,BRN,Brunei,2020-07-17,141.0,3.0,49.07,437483,71809.251,0.853
130,BRN,Brunei,2020-07-18,141.0,3.0,49.07,437483,71809.251,0.853
131,BRN,Brunei,2020-07-19,141.0,3.0,49.07,437483,71809.251,0.853
132,BRN,Brunei,2020-07-20,141.0,3.0,49.07,437483,71809.251,0.853
133,BRN,Brunei,2020-07-21,141.0,3.0,49.07,437483,71809.251,0.853
134,BRN,Brunei,2020-07-22,141.0,3.0,49.07,437483,71809.251,0.853
135,BRN,Brunei,2020-07-23,141.0,3.0,49.07,437483,71809.251,0.853
136,BRN,Brunei,2020-07-24,141.0,3.0,49.07,437483,71809.251,0.853
137,BRN,Brunei,2020-07-25,141.0,3.0,49.07,437483,71809.251,0.853
138,BRN,Brunei,2020-07-26,141.0,3.0,49.07,437483,71809.251,0.853
139,BRN,Brunei,2020-07-27,141.0,3.0,36.11,437483,71809.251,0.853
140,BRN,Brunei,2020-07-28,141.0,3.0,36.11,437483,71809.251,0.853
141,BRN,Brunei,2020-07-29,141.0,3.0,36.11,437483,71809.251,0.853
142,BRN,Brunei,2020-07-30,141.0,3.0,36.11,437483,71809.251,0.853
143,BRN,Brunei,2020-07-31,141.0,3.0,36.11,437483,71809.251,0.853
144,BRN,Brunei,2020-08-01,141.0,3.0,36.11,437483,71809.251,0.853
145,BRN,Brunei,2020-08-02,141.0,3.0,36.11,437483,71809.251,0.853
146,BRN,Brunei,2020-08-03,141.0,3.0,36.11,437483,71809.251,0.853
147,BRN,Brunei,2020-08-04,141.0,3.0,36.11,437483,71809.251,0.853
148,BRN,Brunei,2020-08-05,141.0,3.0,36.11,437483,71809.251,0.853
149,BRN,Brunei,2020-08-06,141.0,3.0,36.11,437483,71809.251,0.853
150,BRN,Brunei,2020-08-07,141.0,3.0,36.11,437483,71809.251,0.853
151,BRN,Brunei,2020-08-08,142.0,3.0,36.11,437483,71809.251,0.853
152,BRN,Brunei,2020-08-09,142.0,3.0,36.11,437483,71809.251,0.853
153,BRN,Brunei,2020-08-10,142.0,3.0,36.11,437483,71809.251,0.853
154,BRN,Brunei,2020-08-11,142.0,3.0,36.11,437483,71809.251,0.853
155,BRN,Brunei,2020-08-12,142.0,3.0,36.11,437483,71809.251,0.853
156,BRN,Brunei,2020-08-13,142.0,3.0,33.33,437483,71809.251,0.853
157,BRN,Brunei,2020-08-14,142.0,3.0,33.33,437483,71809.251,0.853
158,BRN,Brunei,2020-08-15,142.0,3.0,33.33,437483,71809.251,0.853
159,BRN,Brunei,2020-08-16,142.0,3.0,33.33,437483,71809.251,0.853
160,BRN,Brunei,2020-08-17,142.0,3.0,37.04,437483,71809.251,0.853
161,BRN,Brunei,2020-08-18,142.0,3.0,37.04,437483,71809.251,0.853
162,BRN,Brunei,2020-08-19,142.0,3.0,37.04,437483,71809.251,0.853
163,BRN,Brunei,2020-08-20,142.0,3.0,37.04,437483,71809.251,0.853
164,BRN,Brunei,2020-08-21,143.0,3.0,37.04,437483,71809.251,0.853
165,BRN,Brunei,2020-08-22,143.0,3.0,37.04,437483,71809.251,0.853
166,BRN,Brunei,2020-08-23,143.0,3.0,37.04,437483,71809.251,0.853
167,BRN,Brunei,2020-08-24,143.0,3.0,37.04,437483,71809.251,0.853
168,BRN,Brunei,2020-08-25,143.0,3.0,37.04,437483,71809.251,0.853
169,BRN,Brunei,2020-08-26,144.0,3.0,37.04,437483,71809.251,0.853
170,BRN,Brunei,2020-08-27,144.0,3.0,37.04,437483,71809.251,0.853
171,BRN,Brunei,2020-08-28,144.0,3.0,37.04,437483,71809.251,0.853
172,BRN,Brunei,2020-08-29,144.0,3.0,37.04,437483,71809.251,0.853
173,BRN,Brunei,2020-08-30,144.0,3.0,37.04,437483,71809.251,0.853
174,BRN,Brunei,2020-08-31,144.0,3.0,37.04,437483,71809.251,0.853
175,BRN,Brunei,2020-09-01,144.0,3.0,34.26,437483,71809.251,0.853
176,BRN,Brunei,2020-09-02,144.0,3.0,34.26,437483,71809.251,0.853
177,BRN,Brunei,2020-09-03,144.0,3.0,34.26,437483,71809.251,0.853
178,BRN,Brunei,2020-09-04,144.0,3.0,34.26,437483,71809.251,0.853
179,BRN,Brunei,2020-09-05,145.0,3.0,34.26,437483,71809.251,0.853
180,BRN,Brunei,2020-09-06,145.0,3.0,34.26,437483,71809.251,0.853
181,BRN,Brunei,2020-09-07,145.0,3.0,34.26,437483,71809.251,0.853
182,BRN,Brunei,2020-09-08,145.0,3.0,34.26,437483,71809.251,0.853
183,BRN,Brunei,2020-09-09,145.0,3.0,34.26,437483,71809.251,0.853
184,BRN,Brunei,2020-09-10,145.0,3.0,34.26,437483,71809.251,0.853
185,BRN,Brunei,2020-09-11,145.0,3.0,34.26,437483,71809.251,0.853
186,BRN,Brunei,2020-09-12,145.0,3.0,34.26,437483,71809.251,0.853
187,BRN,Brunei,2020-09-13,145.0,3.0,34.26,437483,71809.251,0.853
188,BRN,Brunei,2020-09-14,145.0,3.0,34.26,437483,71809.251,0.853
189,BRN,Brunei,2020-09-15,145.0,3.0,31.48,437483,71809.251,0.853
190,BRN,Brunei,2020-09-16,145.0,3.0,31.48,437483,71809.251,0.853
191,BRN,Brunei,2020-09-17,145.0,3.0,31.48,437483,71809.251,0.853
192,BRN,Brunei,2020-09-18,145.0,3.0,31.48,437483,71809.251,0.853
193,BRN,Brunei,2020-09-19,145.0,3.0,31.48,437483,71809.251,0.853
194,BRN,Brunei,2020-09-20,145.0,3.0,31.48,437483,71809.251,0.853
195,BRN,Brunei,2020-09-21,145.0,3.0,31.48,437483,71809.251,0.853
196,BRN,Brunei,2020-09-22,145.0,3.0,31.48,437483,71809.251,0.853
197,BRN,Brunei,2020-09-23,145.0,3.0,31.48,437483,71809.251,0.853
198,BRN,Brunei,2020-09-24,145.0,3.0,31.48,437483,71809.251,0.853
199,BRN,Brunei,2020-09-25,145.0,3.0,31.48,437483,71809.251,0.853
200,BRN,Brunei,2020-09-26,145.0,3.0,31.48,437483,71809.251,0.853
201,BRN,Brunei,2020-09-27,146.0,3.0,31.48,437483,71809.251,0.853
202,BRN,Brunei,2020-09-28,146.0,3.0,31.48,437483,71809.251,0.853
203,BRN,Brunei,2020-09-29,146.0,3.0,35.19,437483,71809.251,0.853
204,BRN,Brunei,2020-09-30,146.0,3.0,35.19,437483,71809.251,0.853
205,BRN,Brunei,2020-10-01,146.0,3.0,35.19,437483,71809.251,0.853
206,BRN,Brunei,2020-10-02,146.0,3.0,35.19,437483,71809.251,0.853
207,BRN,Brunei,2020-10-03,146.0,3.0,35.19,437483,71809.251,0.853
208,BRN,Brunei,2020-10-04,146.0,3.0,35.19,437483,71809.251,0.853
209,BRN,Brunei,2020-10-05,146.0,3.0,35.19,437483,71809.251,0.853
210,BRN,Brunei,2020-10-06,146.0,3.0,35.19,437483,71809.251,0.853
211,BRN,Brunei,2020-10-07,146.0,3.0,35.19,437483,71809.251,0.853
212,BRN,Brunei,2020-10-08,146.0,3.0,35.19,437483,71809.251,0.853
213,BRN,Brunei,2020-10-09,146.0,3.0,35.19,437483,71809.251,0.853
214,BRN,Brunei,2020-10-10,146.0,3.0,35.19,437483,71809.251,0.853
215,BRN,Brunei,2020-10-11,146.0,3.0,35.19,437483,71809.251,0.853
216,BRN,Brunei,2020-10-12,146.0,3.0,35.19,437483,71809.251,0.853
217,BRN,Brunei,2020-10-13,146.0,3.0,35.19,437483,71809.251,0.853
218,BRN,Brunei,2020-10-14,146.0,3.0,35.19,437483,71809.251,0.853
219,BRN,Brunei,2020-10-15,147.0,3.0,35.19,437483,71809.251,0.853
220,BRN,Brunei,2020-10-16,147.0,3.0,35.19,437483,71809.251,0.853
221,BRN,Brunei,2020-10-17,147.0,3.0,35.19,437483,71809.251,0.853
222,BRN,Brunei,2020-10-18,147.0,3.0,35.19,437483,71809.251,0.853
223,BRN,Brunei,2020-10-19,147.0,3.0,,437483,71809.251,0.853
224,KHM,Cambodia,2019-12-31,,,,16718971,3645.07,0.582
225,KHM,Cambodia,2020-01-01,,,0.0,16718971,3645.07,0.582
226,KHM,Cambodia,2020-01-02,,,0.0,16718971,3645.07,0.582
227,KHM,Cambodia,2020-01-03,,,0.0,16718971,3645.07,0.582
228,KHM,Cambodia,2020-01-04,,,0.0,16718971,3645.07,0.582
229,KHM,Cambodia,2020-01-05,,,0.0,16718971,3645.07,0.582
230,KHM,Cambodia,2020-01-06,,,0.0,16718971,3645.07,0.582
231,KHM,Cambodia,2020-01-07,,,0.0,16718971,3645.07,0.582
232,KHM,Cambodia,2020-01-08,,,0.0,16718971,3645.07,0.582
233,KHM,Cambodia,2020-01-09,,,0.0,16718971,3645.07,0.582
234,KHM,Cambodia,2020-01-10,,,0.0,16718971,3645.07,0.582
235,KHM,Cambodia,2020-01-11,,,0.0,16718971,3645.07,0.582
236,KHM,Cambodia,2020-01-12,,,0.0,16718971,3645.07,0.582
237,KHM,Cambodia,2020-01-13,,,0.0,16718971,3645.07,0.582
238,KHM,Cambodia,2020-01-14,,,0.0,16718971,3645.07,0.582
239,KHM,Cambodia,2020-01-15,,,0.0,16718971,3645.07,0.582
240,KHM,Cambodia,2020-01-16,,,0.0,16718971,3645.07,0.582
241,KHM,Cambodia,2020-01-17,,,0.0,16718971,3645.07,0.582
242,KHM,Cambodia,2020-01-18,,,0.0,16718971,3645.07,0.582
243,KHM,Cambodia,2020-01-19,,,0.0,16718971,3645.07,0.582
244,KHM,Cambodia,2020-01-20,,,0.0,16718971,3645.07,0.582
245,KHM,Cambodia,2020-01-21,,,0.0,16718971,3645.07,0.582
246,KHM,Cambodia,2020-01-22,,,0.0,16718971,3645.07,0.582
247,KHM,Cambodia,2020-01-23,,,0.0,16718971,3645.07,0.582
248,KHM,Cambodia,2020-01-24,,,0.0,16718971,3645.07,0.582
249,KHM,Cambodia,2020-01-25,,,0.0,16718971,3645.07,0.582
250,KHM,Cambodia,2020-01-26,,,0.0,16718971,3645.07,0.582
251,KHM,Cambodia,2020-01-27,,,0.0,16718971,3645.07,0.582
252,KHM,Cambodia,2020-01-28,1.0,,0.0,16718971,3645.07,0.582
253,KHM,Cambodia,2020-01-29,1.0,,0.0,16718971,3645.07,0.582
254,KHM,Cambodia,2020-01-30,1.0,,0.0,16718971,3645.07,0.582
255,KHM,Cambodia,2020-01-31,1.0,,0.0,16718971,3645.07,0.582
256,KHM,Cambodia,2020-02-01,1.0,,0.0,16718971,3645.07,0.582
257,KHM,Cambodia,2020-02-02,1.0,,0.0,16718971,3645.07,0.582
258,KHM,Cambodia,2020-02-03,1.0,,0.0,16718971,3645.07,0.582
259,KHM,Cambodia,2020-02-04,1.0,,0.0,16718971,3645.07,0.582
260,KHM,Cambodia,2020-02-05,1.0,,0.0,16718971,3645.07,0.582
261,KHM,Cambodia,2020-02-06,1.0,,0.0,16718971,3645.07,0.582
262,KHM,Cambodia,2020-02-07,1.0,,0.0,16718971,3645.07,0.582
263,KHM,Cambodia,2020-02-08,1.0,,0.0,16718971,3645.07,0.582
264,KHM,Cambodia,2020-02-09,1.0,,0.0,16718971,3645.07,0.582
265,KHM,Cambodia,2020-02-10,1.0,,0.0,16718971,3645.07,0.582
266,KHM,Cambodia,2020-02-11,1.0,,0.0,16718971,3645.07,0.582
267,KHM,Cambodia,2020-02-12,1.0,,0.0,16718971,3645.07,0.582
268,KHM,Cambodia,2020-02-13,1.0,,0.0,16718971,3645.07,0.582
269,KHM,Cambodia,2020-02-14,1.0,,0.0,16718971,3645.07,0.582
270,KHM,Cambodia,2020-02-15,1.0,,0.0,16718971,3645.07,0.582
271,KHM,Cambodia,2020-02-16,1.0,,0.0,16718971,3645.07,0.582
272,KHM,Cambodia,2020-02-17,1.0,,0.0,16718971,3645.07,0.582
273,KHM,Cambodia,2020-02-18,1.0,,0.0,16718971,3645.07,0.582
274,KHM,Cambodia,2020-02-19,1.0,,0.0,16718971,3645.07,0.582
275,KHM,Cambodia,2020-02-20,1.0,,0.0,16718971,3645.07,0.582
276,KHM,Cambodia,2020-02-21,1.0,,0.0,16718971,3645.07,0.582
277,KHM,Cambodia,2020-02-22,1.0,,0.0,16718971,3645.07,0.582
278,KHM,Cambodia,2020-02-23,1.0,,0.0,16718971,3645.07,0.582
279,KHM,Cambodia,2020-02-24,1.0,,0.0,16718971,3645.07,0.582
280,KHM,Cambodia,2020-02-25,1.0,,0.0,16718971,3645.07,0.582
281,KHM,Cambodia,2020-02-26,1.0,,0.0,16718971,3645.07,0.582
282,KHM,Cambodia,2020-02-27,1.0,,0.0,16718971,3645.07,0.582
283,KHM,Cambodia,2020-02-28,1.0,,0.0,16718971,3645.07,0.582
284,KHM,Cambodia,2020-02-29,1.0,,0.0,16718971,3645.07,0.582
285,KHM,Cambodia,2020-03-01,1.0,,0.0,16718971,3645.07,0.582
286,KHM,Cambodia,2020-03-02,1.0,,0.0,16718971,3645.07,0.582
287,KHM,Cambodia,2020-03-03,,,0.0,16718971,3645.07,0.582
288,KHM,Cambodia,2020-03-04,,,0.0,16718971,3645.07,0.582
289,KHM,Cambodia,2020-03-05,,,0.0,16718971,3645.07,0.582
290,KHM,Cambodia,2020-03-06,,,0.0,16718971,3645.07,0.582
291,KHM,Cambodia,2020-03-07,,,19.44,16718971,3645.07,0.582
292,KHM,Cambodia,2020-03-08,2.0,,19.44,16718971,3645.07,0.582
293,KHM,Cambodia,2020-03-09,,,19.44,16718971,3645.07,0.582
294,KHM,Cambodia,2020-03-10,,,19.44,16718971,3645.07,0.582
295,KHM,Cambodia,2020-03-11,,,19.44,16718971,3645.07,0.582
296,KHM,Cambodia,2020-03-12,3.0,,19.44,16718971,3645.07,0.582
297,KHM,Cambodia,2020-03-13,5.0,,27.78,16718971,3645.07,0.582
298,KHM,Cambodia,2020-03-14,,,27.78,16718971,3645.07,0.582
299,KHM,Cambodia,2020-03-15,7.0,,27.78,16718971,3645.07,0.582
300,KHM,Cambodia,2020-03-16,12.0,,27.78,16718971,3645.07,0.582
301,KHM,Cambodia,2020-03-17,24.0,,46.3,16718971,3645.07,0.582
302,KHM,Cambodia,2020-03-18,24.0,,46.3,16718971,3645.07,0.582
303,KHM,Cambodia,2020-03-19,24.0,,46.3,16718971,3645.07,0.582
304,KHM,Cambodia,2020-03-20,24.0,,46.3,16718971,3645.07,0.582
305,KHM,Cambodia,2020-03-21,47.0,,46.3,16718971,3645.07,0.582
306,KHM,Cambodia,2020-03-22,51.0,,46.3,16718971,3645.07,0.582
307,KHM,Cambodia,2020-03-23,86.0,,46.3,16718971,3645.07,0.582
308,KHM,Cambodia,2020-03-24,87.0,,46.3,16718971,3645.07,0.582
309,KHM,Cambodia,2020-03-25,91.0,,46.3,16718971,3645.07,0.582
310,KHM,Cambodia,2020-03-26,96.0,,57.41,16718971,3645.07,0.582
311,KHM,Cambodia,2020-03-27,98.0,,57.41,16718971,3645.07,0.582
312,KHM,Cambodia,2020-03-28,102.0,,57.41,16718971,3645.07,0.582
313,KHM,Cambodia,2020-03-29,103.0,,57.41,16718971,3645.07,0.582
